,Is Inappropriate,Message
0,0,ask though
1,0,lion king star war finding nemo etc
2,0,en que trabajas
3,0,course lol
4,1,honestly probably jerk joy
5,1,tryna talk racist republican soz
6,1,ncmo cute
7,1,know hell happened
8,0,actually impressed rn
9,1,little chubbed ngl
10,1,turned
11,0,lot huh
12,0,nah figured gonna call least keep score
13,0,ohh yeah
14,0,want know bank
15,0,asking
16,1,anywhere
17,0,yet lol
18,1,yes bed naked day
19,1,mad cause got bigger boob
20,0,oh ok well sure figure something
21,1,tryna spice thing relationship
22,1,throw stuff together finish kiss got sold
23,0,frankfurt germany
24,0,literally joke
25,1,honest though way much cutie tempted kiss cuddling right see
26,0,conosco nadie acá
27,0,awesome also love truck haha obsessed truck wanna buy one poor right ahha
28,1,bring boy bring girl make friend make little switch
29,0,never cared ask personal question asking never asked started rude reason first thing asked went mission liberal
30,1,add kik let swap picture
31,0,hey
32,0,call wounded pigeon
33,0,yes get much
34,0,think heard line hehe
35,1,ask saying bio looking forever love talking like f boy actually work
36,0,yeah fun yeah 2 older sister sound like good movie
37,0,thank much facebook
38,0,haha still go meet friend
39,0,barely got work
40,1,break ankle break deez nut
41,0,answer
42,0,getting close
43,0,getting wrong
44,0,met comic con took liking like hanging brother
45,0,wow coming strong haha good cooking good looking
46,1,seem like trying better way suck bye
47,1,pretty forward sexual messaging handle
48,0,need help get
49,1,mean team rude
50,1,far come run get married might half asleep right pretty sure happier could wake lip perfect curve eye perfect keep shut kiss body first thing morning wanna feel run finger hair kiss leg waking licking kissing wet little princess part finger slide get wet actually hear good fingering moaning cum kiss way back eye still closed grab cock push top clit pussy lip showing wanna good little princess take
51,0,think ppl forget however conceptualize personality psychology ppl try conflate problem solving skill personality type unfortunately ppl far much demise ofherwise healthy relationship rant loverant
52,1,need interview reason paying bill wtf
53,1,sex chat
54,0,nothing know
55,0,wbu
56,1,fat ugly people
57,1,nothing wanna makeout
58,1,hand job
59,1,sex marriage
60,1,imagining u together omg much want cuddling
61,1,looking friend w benefit
62,0,okay
63,0,reason swiped goodbye
64,1,send nude
65,0,fue un capítulo triste de mi vida que se relaciona mucho con esa ciudad
66,0,ask number asked snap weirdo
67,1,well morning wood
68,1,nigger
69,1,kitty time
70,1,oooh love kiss tongue
71,0,dude wish really wanting go home
72,1,want steamy makeout ha
73,0,able finish morning
74,0,find wife haha
75,0,got sound like party many brother
76,0,2 month ago
77,0,smash
78,0,mmm
79,1,talk dirty talk month nothing sexual
80,0,hey cute bang
81,0,ok stop rude
82,0,seem like one
83,1,sexual entendre mind gutter im really sure mean
84,0,work study
85,0,like expect sit back let jerk
86,1,think 36d
87,1,men pervs
88,0,mean got like eye
89,0,beautiful girl ever seen
90,0,working dallas right always engineer
91,1,fuck dumb bitch bye ugly as hoe
92,0,spirit really feeling
93,0,r u liberal
94,0,hey
95,0,rude lmao
96,0,eating everything apartment
97,0,u r sensitive one
98,0,amigo
99,0,favorite movie
100,1,sorry want nude n gonna share mine need
101,0,haha yeah know grey ehh dunno exactly like part true quite dramatic
102,0,okay bye
103,1,nude keen please
104,1,hey wanna make money
105,1,1 thanks thinking 2 misogyny showing 3 girl scared walk car night 4 kill men thing 5 girl comfortable skin
106,0,happy easter
107,0,working watching netflix right home haha
108,1,lick mami
109,1,oops boob
110,1,like sex
111,1,maybe lucky get something extra tongue
112,0,totally joking
113,0,family end california
114,1,also dominating stuff like man
115,0,member church
116,0,u tell
117,0,please divulge
118,0,work exercise cook
119,0,except school event church
120,0,much
121,1,okay would sleep chest
122,0,tá louco
123,0,yeahhh
124,1,coffin bitch
125,1,making
126,1,im trying get banned
127,0,curious
128,1,way telling butt stuff
129,0,sí
130,0,hahah maybe could look like basic arizona kid
131,0,ha
132,0,anything close hoot talking
133,0,anything good happened haha
134,0,served church service mission know heard served mine bishop store house family canner springville utah
135,0,oppps eye
136,0,bet work right
137,0,sweet
138,1,wanna mack
139,0,know suck close eye imagine
140,1,said kiss cheek neck
141,1,uhm eat girl
142,0,noooo
143,0,march 27th
144,0,first thing asked move
145,0,yeah know originally working ihc old walmart job called begged come back help
146,1,make dick big hard
147,1,yes bad boy see
148,1,done everything think bed see
149,1,rose red corona flu quarantine deez nut inside
150,1,wow boy favorite topic sexual understand much talk scare adult think extreme action
151,1,milk cow
152,0,nice
153,0,relocate
154,0,fact pretty much quiet entire time
155,0,hey
156,1,lol okay wait sex
157,0,lol fun
158,1,u like making romance sex
159,1,ever watch porn
160,0,deal totally fine know heavenly father understands
161,0,married
162,0,hope great day
163,0,want
164,1,wanna kiss far
165,1,love lip biting
166,0,ok dry
167,0,say
168,1,lol get lost fag
169,0,interesting lol
170,1,dang rude
171,0,would like sexting something like
172,0,got plenty
173,1,would okay cuddling making
174,0,well lol
175,0,live st cloud mn
176,1,enfia teu rabo
177,1,ah dang would however require see shirtless tho
178,0,playing
179,0,would better married wrong person 18 right person 28 though bc garbage thing anyone ever said one ever made fun age congrats first one stoop low
180,1,shit
181,0,frankness little putting appreciate honesty think would good match number reason would like divulge god bless
182,0,went well
183,1,funny actually join church dating app look nude facebook apps enough anymore mutual dating app user 99 member church wish good luck hope find looking
184,0,think lol
185,1,hey dat make lemme fuck
186,0,day going
187,0,yes place cold
188,1,adult fun
189,1,like perv something
190,1,ahh cmon make ya feel good
191,0,wbu
192,0,oh fine
193,0,barely moved today think
194,0,worry good going good day
195,1,idk pretty sure want naughty
196,0,want convert date pkay
197,1,head still sex
198,0,good hear
199,1,soley guy guy like girl 2 guy gangbang
200,0,problem
201,1,one problem sex
202,1,say sex drive
203,0,excuse ok
204,0,opposite endearing
205,1,making
206,0,voy denunciarte si pides disculpas
207,0,wbu
208,0,trying productive mostly wasting time
209,1,ever masturbated
210,1,nice nip
211,0,oh
212,0,sound fun yeah hear ya would liked join watch movie together
213,1,well thank lazy naughty saturday
214,0,confused
215,1,good mormon
216,1,none comital make
217,1,fuck fat bitch
218,0,judge
219,0,wait super curious
220,0,leave
221,0,literally never issue
222,1,oh shit
223,0,nothing really
224,1,excuse first say want talk assumed second one making rude comment way around
225,1,like hand naturally go place
226,0,yeah recent ex
227,1,wanna kiss
228,1,still horny
229,1,better make breakfast naked
230,0,heyyyy
231,0,hola
232,1,lds believe sex marriage
233,1,highest racism incident associate prison 21 sexual assault accusation
234,0,lol mean least buy fish chip first see
235,0,philipine woman
236,1,doggy
237,1,tried thing sexual drive away forget
238,0,eye eye
239,0,mind phone gonna get new phone tomorrow tho tired phone
240,1,started asshole
241,0,keep
242,0,meet back
243,0,even question
244,1,lost virginity 18 year old 28 year old
245,0,else u gonna
246,0,good relief society member believe cussed
247,0,none
248,0,una familia allí hizo mucho daño mi mi familia
249,1,love break law chastity
250,0,estoy cocinando jaja vos
251,0,truck
252,0,yeah england since 17 time
253,1,fucking care
254,0,luck guy end
255,1,affectionate intimate sexual partner
256,1,want makeout
257,1,lol get tinderrr
258,0,tutoring nothing
259,0,live hawaii
